sentence	label
broken sidewalk at railroad tracks	Sidewalk Repair
TX flags are also tattered, a crime as it is with defaced federal flags? thx	Other
dangerous, broken sidewalk	Sidewalk Repair
Far too many cars per bedroom, cars in yards at new homes here	Other
This abandoned sign should be removed per code	Other
thx, has messed up grass	Other
thx	Other
thx behind RD motors	Other
Baby opossum dead  in West bound lane on E 31st street.	Dead Animal Collection
Extinguishers are long expired and there seem to be other building safety and access issues.	Other
No recycling available at Parlor and neighbors	Other
Walgreens doesn't recycle or have required containers	Other
Avana Apts	Other
Looks bad for neighborhood.	Other
Abandoned old cargo van leaking oil, flat tires	Other
recycling	Other
long ago reported, never fixed	Sidewalk Repair
missing sidewalk N of Avesta apts	Sidewalk Repair
Sidewalk not fixed, asphalt dabbed onto it instead of sidewalk being created. Following up with media, city manager.	Sidewalk Repair
On Guadalupe, hazardous..thx	Other
Could the city please finally fine these losers?	Other
on walls	Other
parked 24/7 to advertise dry cleaners	Other
wakes residents, we'd like civil lawsuit	Other
someone crashed into my car and fled	Other
no equals recycling per code	Other
Does code not require daylight sensors to save us all the needless pollution?	Other
sidewalk connection needed here	Sidewalk Repair
The property is vacant, currently. House is for sale. Elderly woman recently moved out.	Wildfire Prevention
I called 9-1-1 earlier today, and the AFD came out and assessed the situation, calling in a pole number.	Other
A new fence has been built at 2001 Teakwood. If this does not violate deed restrictions I would like to know details. No other house in this subdivision has a fenced front yard as far as I know.	Other
There is a kitchen sink on the right hand edge of the carpool lane, sitting near the double solid lines.	Other
I have noticed a lot of graffiti in this area not being addressed lately. could we please be prompt in addressing these issues. Thanks	Graffiti
Coach/chair in middle lane of I-80 west bound	Road Debris/Rockfall
It is jarring with abrupt height changes worse than most potholes. I'm afraid it is damaging my tires and throwing my wheels out of alignment.	Other
The road in the left turn lane on 200 South at the 300 West intersection is warped to the point that it makes contact with my vehicle when I pass over it.	Rough Road
It's more of a manhole cover that is too deep which feels like a pothole so it needs to be smoothed out and filled in more so the car can go over it more smoothly without risk of damage. Please & thanks	Pothole
Southbound on 300 West on bicycle. Big bumps in road (shaded and hard to see) almost knocked me off of bicycle in heavy traffic.	Rough Road
I've been run off the road or had to slam on brakes to avoid hitting the car in the right lane that drives straight into my lane.	Striping
So much tar has built up at the northbound traffic light that it get stuck to tires. So much tar was stuck to my tires that it actually threw off the balance of my vehicle and caused violent shaking.	Road Debris/Rockfall
No train or train signal but still skipped me	Traffic Signals
there are several orange traffic barriers that have been sitting there for months accomplishing nothing	Other
The pedestrian signal located on the northeast corner of 400 South 300 East, in SLC, for eastbound pedestrians, is not displaying the WALK indication or the countdown timer.	Traffic Signals
Driving westbound on 400 south the left hand turn light is not frequent enough.  I had to wait two light cycles for it to turn green.	Traffic Signals
Hello. In the Morning between the hours of 7am and 10am the green light traffic signals headed Northbound and Southbound are way to short.  When the morning commute comes in the traffic backs up along 5th east and blocks driveways and creates other co gestion problems.  Sometimes it can take 20 minutes to get inbetween 500 Soth through 400 south. The green light needs to be at least 5 seconds longer. It would get us through the light much faster and avoid frustration, road-rage, dangerous situations and congestion.	Traffic Signals
Headed south on 400 South Middle Lane pushed over from the right lane snow bank is too big. Just east of 400 East driving eastbound a couple days ago, needs a warning barrier to close the right lane in the future heavy snow falls!	Snow Removal
Length of Green Light has shortened in last week  and is causing backing south of intersection	Traffic Signals
Several times in recent days I have sat at the southbound left turn onto 1300 S, attempting to head east into the St. Mary's neighborhood and have sat through 2-4 cycles of lights. Finally I have exited the lane and turned at the next intersection. Several other neighbors that I asked have experienced the same issue. The city recently blocked traffic from making left turns from Laird Way on to 1300 S, even for local residents, which is forcing all traffic to turn at the light that is not functioning.  I have witnessed multiple people pulling erratic U turns, turning left on the red light when it is clear, or cutting back into heavy traffic. This is getting dangerous and needs to be addressed. The sensors do not seem to be working correctly.	Traffic Signals
"My apologies for bothering you with a relatively mundane traffic issue, but I drive my kids to school each weekday, and almost without fail, cars block the intersection (facing northbound) on Foothill Drive and 1300 S. making it difficult for those heading west to make the short light. Not sure that a ""Do Not Block Intersection"" sign would make any significant difference, but might be worth trying? : )"	Signage
The light for a left turn from northbound Foothill Drive to westbound 1300 S has an extremely long wait time on Sunday mornings, when there is very little opposing traffic. A yield light or shorter cycle would be helpful. I fully understand that left turns must be fully protected during evening commute hours due to traffic patterns and high accident rates.	Traffic Signals
Email: jefferson.solomon@gmail.com	Traffic Signals
south bound traffic turning left has a long waite and therefor there is increased traffic through Laird Way residential street if the turn light was green more often and longer it would decrease cut through traffic.  PLEASE fix this I live on this street.	Traffic Signals
It has happened a few times that turning west off of Foothill onto 1300S takes multiple cycles for the left turn arrow to change. There have been times there is no oncoming traffic for a full light and the arrow still does not come on.	Traffic Signals
There are many areas that need landscaping and litter control. There have been budget cuts but the manager had meetings and voted to cut funding in the department. There are a few workers now doing the job of many a few years ago. I attended meetings and understand that the polling at public venues are needed.	Other
Graffiti on ALL new yield signs in the traffic circles -- Davis, Vine and Allen.	Other
The exit ramp from North Chippenham Pkwy. onto Jahnke Rd. in front of Chippenham Hospital. At the end of the exit ramp the grass is so high that its hard to see on-coming traffic in order to cross onto Jahnke Rd.	Overgrown Lots
street light in front of home is out	Street Light
Thanks	Street Light
Pedestrian Pole light	Street Light
Several Potholes endanger bikers, cars, pedestrians, and are producing lots of loose stones scattering in the roadway.	Pothole
Recycled trash was not collected in our neighborhood on scheduled day of Dec 15.	Recycling Collection
Several potholes have developed and threaten cars, bikers, pedestrians, and children.  They are rapidly widening and producing many loose stones (prior repairs?) that are now all over the roadway.	Pothole
Across from mailbox at 1172 Starr Way, VB.	Pothole
Danger to mororists, bikers and runners	Pothole
"There is an unsafe pothole in the travel lane, presenting a danger as well to pedestrians, runners, and children riding bicycles.  It was ""repaired"" in the past but has  reopened and grown, and is presenting a hazard."	Pothole
Two potholes are growing in front of 1168 and 1172 Starr Way, and are a dangers to pedestrians, bicycles, children, runners, and others.  Please repair as soon as possible.  Thanks!	Pothole
There is a large pothole in the center of the road, presenting a hazard to bikes, runners, school children and motorists.  The pothole keeps reappearing after every short-term, yearly filling of the hole.  Perhaps a more permanent pothole filling could be tried this time.  Thanks.	Pothole
Pothole threatens walkers, joggers, bikers, kids returning from school.  In the middle of the road, across from mail box at 1172 Starr Way.	Pothole
Abandoned house - no one is taking care of the yard and the grass is now waist high!!! It's attracting fleas and ticks...not to mention breeding mosquitos and a HUGE eye sore.  Why is no one taking care of this? It's been reported multiple times.	Overgrown Grass/Weeds on Private Property
At least knee level. I've called 3 times and spoken to Mortgage Contract Services 813-387-1100 . Lewis said we'll get it done …..I called again today. This is not right , no action	Overgrown Grass/Weeds on Private Property
raceing  through the flooded creating damaging wakes.	Stormdrain Maintenance
Street light is out.	Street Light
Light is out.	Street Light
8th Street sidewalk between Marshall and Broad Street is in a serious state of disrepair	Other
citizen states there is a large pothole in front of building that needs repair...training please delete	Potholes
Test Ticket-Grey Ford Taurus-Expired Tags and Inspection.	Abandoned Cars
TEST TICKET...NEIGHBOR HAS ABANDONED CAR IN YARD THAT HAS BEEN SITTING IDOL FOR OVER 2 YEARS	Abandoned Cars
DPU replaced a section of sanitary drain that was damaged by tree roots.   Utilities work is presumably complete, however brick sidewalk still needs repaired to complete the project.   This location is mid-block on East Clay Street on the south side of the street between 10th & 11th Streets.	Other
citizen states that it is a pothole in front of the GRTC bus stop near the VCU campus. Near 11th and Clay	Potholes
Crosswalks on all corners of 11th and Clay are so worn as to be almost totally invisible. This is a very busy pedestrian crossing in a very high traffic area, so it's extra important that crosswalks be highly visible.	Other
East Side of the MCV Alumni House- 1 City Light Pole is out	Non-functioning Street Lights
Please repair pothole	Potholes
The assistive box for people with visual impairments appears to be damaged and not working.	Non-functioning Traffic Lights
Several Large potholes by the entrance of the parking deck and under the bridge here.	Potholes
test	Open and Vacant Properties
There are several huge potholes at the bottom of the hill below the D Deck on the MCV campus that need to be filled.	Potholes
Sidewalks buckled near bus stop, multiple tree grates displaced, etc... Major trip hazards especially when crowded/congested.	Other
Street light on the southeast corner is out.	Non-functioning Street Lights
citizen states there a pothole at this intersection that needs repair..........FOR TRAINING PURPOSES PLEASE DISREGARD	Potholes
test for training purpose please disregard	Potholes
citizen states there is a pothole at this intersection that needs repair.**for training purpose please disreguard	Potholes
Its been there for 3 weeks. the tree is approximately 15 ft. long. Please have it removed.	Other
tree roots and tree grate pushing up bricks in sidewalk - create tripping hazard	Other
There's a completely dead tree at the corner of Stuart and Antrim adjacent to my house at 4117 Stuart.  It has been dead for several months, and we notified the City by phone about six weeks ago.  Can you please come confirm it's dead and cut it down?	Other
Household junk/bulk items in alley need collection - referral from DCD - Old SCF#-57921	Trash/Bulk Pick-ups
Please pick up bulk item ( furniture)	Bulk Trash
Tree limbs and brush that have fallen during the recent storms is piled in the ally.	Trash/Bulk Pick-ups
trees obscuring traffic light, Patterson Avenue northbound before Willow Lawn Drive	Other
needs furniture picked up located in alley	Trash/Bulk Pick-ups
In back branches need to be picked up.	Trash/Bulk Pick-ups
Potholes in the Alley N. of Grove........gravel alley. Citizen stating very bad and patients and staff are complaining.	Potholes
The city was here today 1/18/2013 and replaced the pole light cover and internal workings, the light is still nonfunctional in the alley behind 4512 Stuart Ave, Richmond. VA 23211 This is very dangerous , would please replace the light bulb and have this light working as soon as possible.	Non-functioning Street Lights
Tree requested to be removed on the Sauer side of the property	Other
Approximately 16 to 20 bags of leaves, tree debris and other items need to be picked up from the alley of this residence.	Trash/Bulk Pick-ups
The owner of this house is dumping trash outside the fence and not into the supercan.  Some trash has been there for over 3 weeks and is attracting rodents.   Also, the backyard is very overgrown.	Trash/Bulk Pick-ups
pe email - street lamp not working at the alley between Commonwealth Ave. and Woodlawn hehind my house at 4414 Hanover Ave. It appears to be burned out, and has been for some months now.	Non-functioning Street Lights
Please pick up tree brush.	Trash/Bulk Pick-ups
